"make","model","colour","capacity","network","grade","condition","count"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",75
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",76
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",77
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",78
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",79
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",80
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",81
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",82
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",83
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",84
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",85
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",86
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",87
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",88
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",89
